sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,3,0A 82 03 
1,0.000 006 660,"Idle","Init","Cycle Freq.: 100000000, CPU Freq.: 100000000, ID Base: 0x10000000, ID Shift: 0",666,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,13,18,18 0E 80 C2 D7 2F 80 C2 D7 2F 80 80 80 80 01 00 9A 05 
2,0.000 029 490,"Idle","System Description","N=FreeRTOS 01_task Application,D=Cortex-M4 STM32F411 DISCO,O=FreeRTOS",2949,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,31,73,0E 45 4E 3D 46 72 65 65 52 54 4F 53 20 30 31 5F 74 61 73 6B 20 41 70 70 6C 69 63 61 74 69 6F 6E 2C 44 3D 43 6F 72 74 65 78 2D 4D 34 20 53 54 4D 33 32 46 34 31 31 20 44 49 53 43 4F 2C 4F 3D 46 72 65 65 52 54 4F 53 EB 11 
3,0.000 039 730,"Idle","System Description","I#15=SysTick",3973,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,104,16,0E 0C 49 23 31 35 3D 53 79 73 54 69 63 6B 80 08 
4,0.000 046 310,"Idle","System Time (us)","0 us",4631,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,120,5,0D 00 00 92 05 
5,0.000 051 370,"Idle","Num Modules","Registered Modules: 0",5137,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,125,5,1B 01 00 FA 03 
6,0.000 146 020,"Idle","Task Create","led_green (0x10000480)",14602,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,130,8,08 80 89 80 80 01 F9 49 
7,0.000 158 010,"Idle","Task Info","led_green (0x10000480): Priority=2",15801,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,138,19,09 80 89 80 80 01 02 09 6C 65 64 5F 67 72 65 65 6E AF 09 
8,0.000 164 430,"Idle","Stack Info","led_green (0x10000480): 724 @ 0x20000150",16443,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,157,16,15 80 89 80 80 01 D0 82 80 80 02 D4 05 00 82 05 
9,0.000 169 760,"Idle","Task Ready","led_green, runs after 458.220 us",16976,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,173,8,06 80 89 80 80 01 95 04 
10,0.000 257 390,"Idle","Task Create","led_orang (0x10000818)",25739,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,181,8,08 98 90 80 80 01 BB 44 
11,0.000 269 340,"Idle","Task Info","led_orang (0x10000818): Priority=2",26934,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,189,19,09 98 90 80 80 01 02 09 6C 65 64 5F 6F 72 61 6E 67 AB 09 
12,0.000 275 750,"Idle","Stack Info","led_orang (0x10000818): 724 @ 0x200004E8",27575,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,208,16,15 98 90 80 80 01 E8 89 80 80 02 D4 05 00 81 05 
13,0.000 281 080,"Idle","Task Ready","led_orang, runs after 391.490 us",28108,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,224,8,06 98 90 80 80 01 95 04 
14,0.000 367 890,"Idle","Task Create","led_red (0x10000BB0)",36789,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,232,8,08 B0 97 80 80 01 E9 43 
