sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,3,6F 6E 20 
1,0.000 006 660,"Idle","Init","Cycle Freq.: 100000000, CPU Freq.: 100000000, ID Base: 0x10000000, ID Shift: 0",666,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,13,18,20 20 20 20 53 45 47 47 45 52 20 53 79 73 74 65 6D 56 
2,0.000 029 490,"Idle","System Description","N=FreeRTOS 01_task Application,D=Cortex-M4 STM32F411 DISCO,O=FreeRTOS",2949,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,31,73,69 65 77 20 56 33 2E 35 32 61 0D 0A 3B 20 52 65 63 6F 72 64 54 69 6D 65 20 20 32 38 20 41 75 67 20 32 30 32 33 20 31 33 3A 34 37 3A 34 37 0D 0A 3B 20 41 75 74 68 6F 72 20 20 20 20 20 20 68 6F 61 6E 67 0D 0A 3B 20 54 69 
3,0.000 039 730,"Idle","System Description","I#15=SysTick",3973,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,104,16,74 6C 65 20 20 20 20 20 20 20 30 34 5F 66 72 65 
4,0.000 046 290,"Idle","System Time (us)","0 us",4629,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,120,5,65 72 74 6F 73 
5,0.000 051 350,"Idle","Num Modules","Registered Modules: 0",5135,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,125,5,5F 6C 65 64 5F 
6,0.000 146 360,"Idle","Task Create","led_green (0x10000480)",14636,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,130,8,76 54 61 73 6B 44 65 6C 
7,0.000 158 380,"Idle","Task Info","led_green (0x10000480): Priority=2",15838,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,138,19,61 79 55 6E 74 69 6C 0D 0A 3B 20 44 65 73 63 72 69 70 74 
8,0.000 164 790,"Idle","Stack Info","led_green (0x10000480): 724 @ 0x20000150",16479,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,157,16,69 6F 6E 20 0D 0A 3B 0D 0A 00 00 00 00 00 00 00 
9,0.000 170 110,"Idle","Task Ready","led_green, runs after 459.370 us",17011,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,173,8,00 00 00 0A 82 03 18 0E 
