sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
0,0.000 000 000,"Idle","Start","",0,0x0000000000000000,0x0000000000000000,0x0000000000000000,10,10,3,6F 6E 20 
1,0.000 006 620,"Idle","Init","Cycle Freq.: 100000000, CPU Freq.: 100000000, ID Base: 0x10000000, ID Shift: 0",662,0x0000000000000000,0x0000000000000000,0x0000000000000000,24,13,18,20 20 20 20 53 45 47 47 45 52 20 53 79 73 74 65 6D 56 
2,0.000 029 460,"Idle","System Description","N=FreeRTOS 01_task Application,D=Cortex-M4 STM32F411 DISCO,O=FreeRTOS",2946,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,31,73,69 65 77 20 56 33 2E 35 32 61 0D 0A 3B 20 52 65 63 6F 72 64 54 69 6D 65 20 20 32 39 20 41 75 67 20 32 30 32 33 20 30 31 3A 33 31 3A 32 33 0D 0A 3B 20 41 75 74 68 6F 72 20 20 20 20 20 20 68 6F 61 6E 67 0D 0A 3B 20 54 69 
3,0.000 039 630,"Idle","System Description","I#15=SysTick",3963,0x0000000000000000,0x0000000000000000,0x0000000000000000,14,104,16,74 6C 65 20 20 20 20 20 20 20 30 36 5F 66 72 65 
4,0.000 046 090,"Idle","System Time (us)","0 us",4609,0x0000000000000000,0x0000000000000000,0x0000000000000000,13,120,5,65 72 74 6F 73 
5,0.000 051 220,"Idle","Num Modules","Registered Modules: 0",5122,0x0000000000000000,0x0000000000000000,0x0000000000000000,27,125,5,5F 6C 65 64 5F 
6,0.000 149 180,"Idle","Task Create","led_green (0x100004E8)",14918,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,130,8,76 54 61 73 6B 44 65 6C 
7,0.000 161 160,"Idle","Task Info","led_green (0x100004E8): Priority=4",16116,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,138,19,65 74 65 5F 62 74 6E 49 53 52 5F 30 31 0D 0A 3B 20 44 65 
8,0.000 167 490,"Idle","Stack Info","led_green (0x100004E8): 724 @ 0x200001B8",16749,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,157,16,73 63 72 69 70 74 69 6F 6E 20 0D 0A 3B 0D 0A 00 
9,0.000 172 790,"Idle","Task Ready","led_green, runs after 411.100 us",17279,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,173,8,00 00 00 00 00 00 00 00 
10,0.000 260 350,"Idle","Task Create","led_orang (0x10000880)",26035,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,181,8,00 0A 83 03 18 0E 80 C2 
11,0.000 272 320,"Idle","Task Info","led_orang (0x10000880): Priority=3",27232,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,189,19,D7 2F 80 C2 D7 2F 80 80 80 80 01 00 96 05 0E 45 4E 3D 46 
12,0.000 278 650,"Idle","Stack Info","led_orang (0x10000880): 724 @ 0x20000550",27865,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,208,16,72 65 65 52 54 4F 53 20 30 31 5F 74 61 73 6B 20 
13,0.000 283 950,"Idle","Task Ready","led_orang, runs after 342.590 us",28395,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,224,8,41 70 70 6C 69 63 61 74 
14,0.000 370 590,"Idle","Task Create","led_red (0x10000C18)",37059,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,232,8,69 6F 6E 2C 44 3D 43 6F 
15,0.000 382 080,"Idle","Task Info","led_red (0x10000C18): Priority=2",38208,0x0000000000000000,0x0000000000000000,0x0000000000000000,9,240,17,72 74 65 78 2D 4D 34 20 53 54 4D 33 32 46 34 31 31 
16,0.000 388 310,"Idle","Stack Info","led_red (0x10000C18): 724 @ 0x200008E8",38831,0x0000000000000000,0x0000000000000000,0x0000000000000000,21,257,16,20 44 49 53 43 4F 2C 4F 3D 46 72 65 65 52 54 4F 
17,0.000 393 610,"Idle","Task Ready","led_red, runs after 273.070 us",39361,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,273,8,53 EC 11 0E 0C 49 23 31 
18,0.000 480 620,"Idle","Task Create","led_blue (0x10000FB0)",48062,0x0000000000000000,0x0000000000000000,0x0000000000000000,8,281,8,35 3D 53 79 73 54 69 63 
